Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV62,2007-03-27,X-band,0859+470,ND,1.08,3.17,0.48,2061.47
RDV71,2008-09-03,X-band,0859+470,ND,1.07,3.02,0.46,
RDV3,1997-05-19,X-band,0823+033,ND,1.06,2.85,0.57,
RDV92,2012-04-18,X-band,0716+714,D,1.05,1.8,0.81,4146.61
BR9525,1995-04-12,X-band,0723-008,ND,1.05,3.3,0.35,
RDV6,1997-12-17,X-band,0823+033,ND,1.05,2.7,0.67,
RDV45,2004-07-14,X-band,0823+033,ND,1.04,2.5,0.58,
RV116,2016-02-09,X-band,0716+714,D,1.02,2.33,0.79,1967.99
B9725A,1997-01-10,X-band,0821+394,ND,1.02,2.71,0.62,
BL122B,2005-08-26,X-band,0827+243,ND,1.02,2.2,0.68,
RDV78,2009-12-02,X-band,0859-140,ND,1.02,4.16,0.25,1220.34
RDV75,2009-05-13,X-band,0716+714,D,1,1.6,0.77,
RV112,2015-07-15,X-band,0808+019,D,1,2.36,0.79,2209.81
RDV67,2008-01-23,X-band,0823+033,ND,0.99,2.23,0.76,
B9725B,1997-01-11,X-band,0851+202,ND,0.99,2.82,0.63,
B9725A,1997-01-10,X-band,0851+202,ND,0.99,2.74,0.62,
RDV66,2007-12-05,X-band,0859-140,ND,0.99,4.07,0.28,1727.93
RDV59,2006-09-13,X-band,0823+033,ND,0.98,1.92,0.75,
RDV7,1998-02-09,X-band,0823+033,ND,0.97,2.64,0.65,
RDV82,2010-10-13,X-band,0847-120,D,0.97,1.95,0.87,3189.86
RDV71,2008-09-03,X-band,0754+100,ND,0.96,2.7,0.63,
RDV5,1997-09-08,X-band,0804+499,D,0.96,1.46,0.84,
RDV8,1998-04-15,X-band,0823+033,ND,0.96,2.82,0.63,
RV124,2017-07-17,X-band,0808+019,D,0.95,2.11,0.9,2689.23
B9725A,1997-01-10,X-band,0814+425,ND,0.93,2.54,0.59,
RDV31,2002-01-16,X-band,0827+243,ND,0.93,2.53,0.71,
BR9525,1995-04-12,X-band,0707+476,ND,0.92,2.58,0.68,
BL122B,2005-08-26,X-band,0749+540,D,0.92,2.54,0.75,
RDV26,2001-03-12,X-band,0805-077,ND,0.91,3.21,0.66,1254.89
RDG953,1995-10-02,X-band,0805+410,D,0.91,2.01,0.76,
BL122B,2005-08-26,X-band,0735+178,ND,0.9,3.17,0.49,
RDV82,2010-10-13,X-band,0745+241,ND,0.9,2.7,0.64,1662.41
RDV68,2008-04-02,X-band,0823+033,ND,0.9,3.23,0.66,1392.17
RDV10,1998-08-10,X-band,0823+033,ND,0.9,3.03,0.62,
RDV74,2009-04-21,X-band,0808+019,D,0.89,2.06,0.87,2650.05
RDV86,2011-04-05,X-band,0808+019,D,0.89,2.5,0.86,2433.16
RDV77,2009-10-07,X-band,0859+470,ND,0.88,3.26,0.38,
RV120,2016-11-30,X-band,0838+133,ND,0.88,2.97,0.58,3371.67
VABF12,1995-10-12,X-band,0820+560,ND,0.87,2.84,0.46,
RDV68,2008-04-02,X-band,0821+394,ND,0.87,2.94,0.7,1847.64
BL122B,2005-08-26,X-band,0804+499,D,0.86,1.46,0.84,
RV108,2014-12-03,X-band,0808+019,D,0.85,1.86,0.86,3269.07
BL122B,2005-08-26,X-band,0821+394,ND,0.85,1.76,0.8,
RDV9,1998-06-24,X-band,0823+033,ND,0.85,2.78,0.66,
RDV79,2010-06-23,X-band,0808+019,D,0.84,0.56,0.81,
RDV20,2000-03-13,X-band,0823+033,ND,0.84,3.4,0.59,1625.78
RDV70,2008-07-09,X-band,0749+540,D,0.83,3.41,0.7,1515.09
RDV4,1997-07-24,X-band,0804+499,D,0.83,1.64,0.8,
RDV69,2008-05-14,X-band,0749+540,D,0.82,2.9,0.7,
RDV42,2003-12-17,X-band,0804+499,D,0.8,2.87,0.74,935.92
RDV71,2008-09-03,X-band,0749+540,D,0.79,3.08,0.72,
RDV72,2008-12-17,X-band,0859-140,ND,0.79,4.19,0.26,1297.78
RDV63,2007-06-26,X-band,0749+540,D,0.78,3.36,0.73,
RDV77,2009-10-07,X-band,0808+019,D,0.78,1.16,0.83,
RV124,2017-07-17,X-band,0847-120,D,0.78,2.09,0.88,3370.75
RV118,2016-07-06,X-band,0812+367,ND,0.77,2.91,0.6,1127.35
BL115C,2004-02-15,X-band,0814+425,ND,0.77,2.06,0.8,
RDV76,2009-07-29,X-band,0823+033,ND,0.76,3.23,0.56,1012.04
RDV26,2001-03-12,X-band,0805+410,D,0.75,2.78,0.65,1061.15
RV112,2015-07-15,X-band,0812+367,ND,0.75,3.16,0.53,1344.8
BL122B,2005-08-26,X-band,0722+145,ND,0.73,2.53,0.68,
VABF12,1995-10-12,X-band,0805-077,ND,0.73,3.33,0.46,
RDV82,2010-10-13,X-band,0808+019,D,0.73,2.48,0.82,1845.07
RDV66,2007-12-05,X-band,0820+560,ND,0.73,3.33,0.4,1451.83
RV102,2013-12-11,X-band,0823+033,ND,0.73,1.89,0.96,5129.02
RDV68,2008-04-02,X-band,0749+540,D,0.72,3.41,0.65,1252.49
