recno,LQAC,Flag,OName,Nature,RAOdeg,DEOdeg,Source,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,Ref,GAIA,z,Gmag2,BPmag,RPmag,umag_1,Bmag_1,Gmag1,Vmag,gmag_1,rmag_1,imag_1,zmag_1,Jmag,Kmag,W1mag,W2mag,W3mag,W4mag,S1_4,S2_3,S5_0,S8_4,S23,I1B,I2B,I3B,I1R,I2R,I3R,I1I,I2I,I3I,BMAG_1a,IMAG_1a,uMAG_1a,gMAG_1a,rMAG_1a,iMAG_1b,zMAG_1a,iers_name,source_id,Separation
115037,LQAC_047-076_009,3,PKS 0312-77,ICRF2,47.9802091,-76.86412453,DR2,47.9802093478,-76.8641243899,0.049,0.043,-0.15,0.049,0.037,0.103,-0.115,0.09,AB------IJKL-,DR12,0.2252,16.41,16.541,15.861,15.49,16.26,16.273,16.1,,15.59,14.79,,14.65,13.059,11.726,10.7,8.088,5.987,,,0.56,,,,,,0.6,0.4,0.1,0.9,0.3,0.7,-24.405,-25.264,,,,,,0312-770,4638902749442043904,5.434479399321336E-4
119425,LQAC_082-072_001,3,J0529-7245,ICRF2,82.375175737,-72.757918687,DR2,82.3751759384,-72.7579188628,0.314,0.332,0.11,0.248,0.21,0.61,0.408,0.629,AB-------J---,DR12,1.34,19.433,19.61,18.261,,,19.734,,,,,,15.945,14.173,13.465,12.469,9.663,7.207,,,,0.756,,,,,,,,,,,,,,,,,,0530-727,4650517814204154368,6.682086200653204E-4
119286,LQAC_079-072_001,3,J0516-7237,ICRF2,79.157162794,-72.618740482,DR2,79.157162253,-72.6187402693,0.474,0.497,-0.087,0.548,-0.633,0.907,0.062,0.901,AB-----------,DR12,,20.274,20.083,19.293,,,19.963,,,,,,,,13.956,12.839,10.348,7.89,,,,0.323,,,,,,,,,,,,,,,,,,0517-726,4651226415068185856,9.617230730415429E-4
118923,LQAC_072-074_001,3,PKS 0449-743,ICRF2,72.202325,-74.292012761,DR2,72.2023253421,-74.292012674,0.096,0.116,-0.235,0.107,-0.24,0.194,-0.045,0.252,AB--------KL-,DR12,1.208,17.899,18.022,17.48,,18.37,17.76,,,17.55,17.96,,,,14.246,12.975,10.093,7.653,,,0.209,,,,,,1.1,0.3,0.2,0.4,1.4,0.1,-26.572,-26.117,,,,,,0450-743,4652367368842697984,4.573889390027508E-4
118747,LQAC_069-071_001,3,J0437-7148,RADIO+,69.268243796,-71.805602053,DR2,69.2682433203,-71.8056013511,0.269,0.367,-0.146,0.368,0.66,0.494,0.291,0.665,-B--------KL-,DR12,,19.605,19.712,18.578,,21.56,19.528,,,19.47,,,,,14.36,13.278,10.108,7.991,,,,0.251,,,,,0.2,0.4,0.0,0.7,0.8,1.3,,,,,,,,0437-719,4653280062272926976,0.0025827070395353082
118089,LQAC_058-066_001,3,J0355-6645,ICRF2,58.949514302,-66.759393661,DR2,58.9495144405,-66.7593938007,0.144,0.135,0.146,0.149,0.248,0.278,-0.236,0.271,AB-------JKL-,DR12,0.7752,18.437,18.572,18.051,,17.51,18.288,,,18.38,18.17,,16.615,15.134,13.419,12.276,9.604,7.067,,,,0.235,,,,,0.3,0.7,0.1,0.7,0.0,0.6,-26.24,-25.024,,,,,,0355-669,4669236900862626816,5.40067831046129E-4
118708,LQAC_068-060_001,3,J0433-6030,ICRF2,68.392118489,-60.503824889,DR2,68.392118679,-60.5038248207,0.112,0.11,0.187,0.113,0.168,0.239,-0.144,0.258,AB-------J---,DR12,0.9303,18.391,18.341,17.769,,,18.513,,,,,,16.421,14.948,13.36,12.957,10.112,7.292,,,,0.193,,,,,0.8,0.9,0.1,,,,,,,,,,,0432-606,4677913520779595008,4.1693455563624333E-4
47057,LQAC_015-075_001,3,PKS 0101-76,RADIO,15.57775095,-75.781035453,DR2,15.5777503762,-75.7810362743,0.106,0.094,3.846,0.116,0.09,0.195,0.216,0.174,-B------IJKL-,DR12,1.017,17.811,17.962,17.509,,18.31,17.731,17.9,,17.8,17.78,,16.27,15.292,13.728,12.476,9.631,7.298,,,0.55,0.309,,,,,0.6,0.3,0.5,,,,-26.038,-25.911,,,,,,0100-760,4684457062370970752,0.0030000290193469945
92050,LQAC_031-068_001,3,J0207-6837,ICRF2,31.9622152,-68.631989538,DR2,31.9622146147,-68.6319889283,0.138,0.12,0.066,0.163,-0.025,0.253,0.01,0.224,AB--------KL-,DR12,,18.421,18.843,17.763,,19.81,18.258,,,18.78,18.85,,,,13.847,12.853,10.09,7.82,,,,0.105,,,,,0.4,0.7,0.5,0.9,1.0,0.4,,,,,,,,0206-689,4694525217329726464,0.0023252126412708508
87796,LQAC_030-066_001,3,J0201-6638,RADIO+,30.282267562,-66.63685155,DR2,30.2822660631,-66.6368518118,0.29,0.216,-0.106,0.278,0.497,0.594,0.362,0.465,-B-------JKL-,DR12,1.281,19.344,19.456,18.848,,20.38,19.396,,,19.04,19.04,,16.387,14.66,15.437,14.302,11.789,8.639,,,,0.261,,,,,0.1,0.1,0.1,1.0,0.3,1.2,,,,,,,,0159-668,4698136735069516544,0.002338216306569465
95220,LQAC_033-061_001,3,J0214-6149,RADIO+,33.567518525,-61.826016286,DR2,33.5675169055,-61.8260166866,1.153,0.996,-2.373,1.134,0.318,2.411,3.015,2.115,-B--------K--,DR12,,20.369,20.748,19.567,,20.82,20.276,,,19.91,,,,,14.36,13.191,9.973,7.657,,,,0.547,,,,,1.3,0.9,0.8,1.1,0.3,1.8,,,,,,,,0212-620,4701572124791008000,0.0031076649514104942
54280,LQAC_018-066_001,3,J0112-6634,ICRF2,18.078803954,-66.579218793,DR2,18.078803718,-66.5792189284,0.091,0.065,0.074,0.088,0.034,0.194,0.384,0.13,AB--------KL-,DR12,1.1888,17.636,17.715,17.304,,18.06,17.631,,,17.74,17.63,,,,14.553,13.306,10.3,7.659,,,,,,,,,0.4,0.4,0.1,0.6,0.5,0.2,-26.524,-26.272,,,,,,0110-668,4704887599025497216,5.930773920126359E-4
92148,LQAC_032-062_002,3,J0208-6216,RADIO+,32.0048801,-62.276537064,DR2,32.0048791163,-62.2765371747,0.135,0.097,0.1,0.125,-0.152,0.294,-0.345,0.189,-B-------JKL-,DR12,2.381,17.878,17.954,17.527,,18.23,17.846,,,17.92,17.65,,16.589,15.153,14.656,13.946,10.847,8.579,,,,0.187,,,,,0.7,0.1,0.1,0.4,0.7,0.0,-28.376,-28.055,,,,,,0206-625,4713172728378357632,0.0016949268657309848
114279,LQAC_045-062_001,3,PKS 0302-623,ICRF2,45.96096395,-62.19043052,DR2,45.9609641068,-62.1904305549,0.165,0.127,0.219,0.136,0.127,0.285,0.256,0.231,AB-------JKL-,DR12,1.351,18.4,18.52,17.832,,19.12,18.34,,,18.67,17.49,,17.036,15.551,13.476,12.258,9.083,6.732,,,1.862,1.872,,,,,,,,,,,-25.853,-26.716,,,,,,0302-623,4721627251240649600,2.9172591586475687E-4
114826,LQAC_047-060_001,3,PKS 0308-611,ICRF2,47.483746475,-60.977515597,DR2,47.483746423,-60.9775156689,0.14,0.139,0.086,0.144,0.108,0.306,0.124,0.332,AB--------KL-,DR12,1.48,18.294,18.549,17.723,,18.54,18.087,,,18.71,18.07,,,,13.85,12.719,9.073,6.585,,,1.103,0.954,,,,,1.2,0.4,0.5,0.4,1.1,0.9,-26.628,-26.295,,,,,,0308-611,4723258896432809472,2.743579876396874E-4
105088,LQAC_039-061_001,3,PKS 0235-618,ICRF2,39.221857275,-61.604217618,DR2,39.22185652,-61.604217855,0.33,0.293,-0.266,0.327,0.011,0.876,0.689,0.614,AB-------JKL-,DR12,0.465,19.45,19.458,18.148,,18.32,19.543,,,18.02,17.99,,16.949,14.97,11.91,10.877,7.415,5.154,,,0.406,0.292,,,,,0.2,0.1,0.5,0.1,0.5,0.3,-23.773,-23.792,,,,,,0235-618,4724677330856364032,0.0015487363037498597
116968,LQAC_053-054_002,3,J0335-5430,ICRF2,53.97468684,-54.506976298,DR2,53.974686514,-54.5069767229,0.806,0.78,-0.941,0.743,1.179,1.847,-0.755,1.528,AB--------K--,DR12,,20.663,20.602,19.943,,20.82,20.705,,,19.38,,,,,15.192,14.646,11.989,8.545,,,,0.559,,,,,0.6,0.6,1.6,,,,,,,,,,,0334-546,4732480702317346176,0.0016747326369223523
101404,LQAC_037-055_001,3,PKS 0226-559,ICRF2,37.089993222,-55.767577887,DR2,37.0899932304,-55.7675780346,0.132,0.117,0.022,0.135,-0.776,0.314,0.491,0.293,AB--------KL-,DR12,2.464,18.5,18.799,17.784,,17.54,18.505,,,17.32,18.64,,,,13.128,12.088,10.977,8.47,,,0.749,0.23,,,,,0.8,0.7,0.3,0.1,0.2,0.0,-29.139,-27.136,,,,,,0226-559,4739899313429070592,5.317913408105416E-4
