Experience,Date,Band,Source,ICRF3 Cat.,Flux (Jy),Structure index,Compactness,Map Quality
RDV92,2012-04-18 00:00:00.000,X-band,0727-115,D,4.03,1.86,0.76,7258.7
RDV51,2005-06-29 00:00:00.000,X-band,0727-115,D,4.0,2.38,0.71,4532.25
RDV59,2006-09-13 00:00:00.000,X-band,0727-115,D,3.86,2.2,0.59,
RV100,2013-07-24 00:00:00.000,X-band,0727-115,D,3.73,1.68,0.77,6730.33
RDV82,2010-10-13 00:00:00.000,X-band,0851+202,ND,3.71,1.98,0.74,5653.78
RDV79,2010-06-23 00:00:00.000,X-band,0851+202,ND,3.71,1.76,0.77,
RDV61,2007-01-24 00:00:00.000,X-band,0727-115,D,3.7,1.56,0.74,
RDV57,2006-07-11 00:00:00.000,X-band,0727-115,D,3.68,2.63,0.42,
RDV42,2003-12-17 00:00:00.000,X-band,0851+202,ND,3.66,2.01,0.81,5332.06
RDV94,2012-08-22 00:00:00.000,X-band,0727-115,D,3.62,1.86,0.73,6591.35
RDV31,2002-01-16 00:00:00.000,X-band,0727-115,D,3.61,1.46,0.74,
RDV26,2001-03-12 00:00:00.000,X-band,0727-115,D,3.59,1.89,0.79,3943.44
BL115C,2004-02-15 00:00:00.000,X-band,0851+202,ND,3.49,1.98,0.8,
RDV62,2007-03-27 00:00:00.000,X-band,0748+126,D,3.43,2.04,0.75,3842.53
RDV90,2011-12-20 00:00:00.000,X-band,0727-115,D,3.39,2.31,0.84,1789.95
BR9525,1995-04-12 00:00:00.000,X-band,0727-115,D,3.34,1.92,0.69,
RDV98,2013-04-10 00:00:00.000,X-band,0727-115,D,3.11,1.8,0.77,5039.34
RDV96,2012-12-05 00:00:00.000,X-band,0727-115,D,3.08,1.98,0.76,4294.53
RV106,2014-09-03 00:00:00.000,X-band,0851+202,ND,3.08,2.4,0.65,3684.7
RDV9,1998-06-24 00:00:00.000,X-band,0727-115,D,3.01,1.72,0.71,
RDV6,1997-12-17 00:00:00.000,X-band,0727-115,D,2.99,2.16,0.74,
RV112,2015-07-15 00:00:00.000,X-band,0851+202,ND,2.97,3.3,0.54,2330.17
RDV10,1998-08-10 00:00:00.000,X-band,0727-115,D,2.96,1.83,0.7,
RDV75,2009-05-13 00:00:00.000,X-band,0851+202,ND,2.95,2.48,0.71,
RDV96,2012-12-05 00:00:00.000,X-band,0851+202,ND,2.93,3.56,0.46,2865.51
RDV90,2011-12-20 00:00:00.000,X-band,0748+126,D,2.86,3.29,0.48,1606.51
RDV7,1998-02-09 00:00:00.000,X-band,0727-115,D,2.8,1.95,0.77,
RDV5,1997-09-08 00:00:00.000,X-band,0727-115,D,2.8,2.04,0.66,
RDV45,2004-07-14 00:00:00.000,X-band,0851+202,ND,2.8,1.98,0.7,
RDV12,1998-12-21 00:00:00.000,X-band,0727-115,D,2.76,1.76,0.68,
RDV8,1998-04-15 00:00:00.000,X-band,0727-115,D,2.74,1.8,0.71,
RDV59,2006-09-13 00:00:00.000,X-band,0748+126,D,2.69,1.6,0.68,
RDV57,2006-07-11 00:00:00.000,X-band,0851+202,ND,2.64,2.67,0.58,
RDV4,1997-07-24 00:00:00.000,X-band,0727-115,D,2.47,1.72,0.77,
RDV69,2008-05-14 00:00:00.000,X-band,0851+202,ND,2.47,2.5,0.57,
VABF12,1995-10-12 00:00:00.000,X-band,0727-115,D,2.46,2.01,0.74,
RDV20,2000-03-13 00:00:00.000,X-band,0727-115,D,2.41,2.18,0.72,5188.8
RDV57,2006-07-11 00:00:00.000,X-band,0834-201,D,2.41,2.36,0.62,
RDV2,1997-03-31 00:00:00.000,X-band,0727-115,D,2.39,2.09,0.71,
BL122B,2005-08-26 00:00:00.000,X-band,0748+126,D,2.38,1.89,0.81,
RDV70,2008-07-09 00:00:00.000,X-band,0851+202,ND,2.38,2.2,0.82,3307.56
RDV59,2006-09-13 00:00:00.000,X-band,0851+202,ND,2.33,1.8,0.61,
RDV3,1997-05-19 00:00:00.000,X-band,0727-115,D,2.19,1.76,0.75,
BL115C,2004-02-15 00:00:00.000,X-band,0743-006,D,2.13,1.51,0.53,
BL115C,2004-02-15 00:00:00.000,X-band,0748+126,D,2.13,1.72,0.82,
RDV71,2008-09-03 00:00:00.000,X-band,0851+202,ND,2.13,1.64,0.8,
RDV31,2002-01-16 00:00:00.000,X-band,0851+202,ND,2.11,3.53,0.57,
RDV1,1997-01-30 00:00:00.000,X-band,0727-115,D,2.09,2.04,0.7,
RDV8,1998-04-15 00:00:00.000,X-band,0851+202,ND,2.06,2.16,0.74,
RDV82,2010-10-13 00:00:00.000,X-band,0716+714,D,2.05,1.16,0.91,7345.01
RDV51,2005-06-29 00:00:00.000,X-band,0851+202,ND,2.05,2.4,0.73,3310.97
RDV26,2001-03-12 00:00:00.000,X-band,0851+202,ND,2.04,2.6,0.68,1788.08
RDV8,1998-04-15 00:00:00.000,X-band,0804+499,D,2.01,1.0,0.81,
RDV80,2010-08-04 00:00:00.000,X-band,0834-201,D,2.0,2.06,0.68,4424.71
RV104,2014-04-01 00:00:00.000,X-band,0834-201,D,1.98,2.25,0.68,3361.86
RDV61,2007-01-24 00:00:00.000,X-band,0834-201,D,1.96,2.27,0.46,
RDV68,2008-04-02 00:00:00.000,X-band,0851+202,ND,1.95,2.53,0.73,2316.22
BR945,1994-07-08 00:00:00.000,X-band,0851+202,ND,1.92,3.59,0.43,
RDV67,2008-01-23 00:00:00.000,X-band,0851+202,ND,1.92,2.38,0.57,
B9725B,1997-01-11 00:00:00.000,X-band,0748+126,D,1.91,2.16,0.85,
VABF12,1995-10-12 00:00:00.000,X-band,0743-006,D,1.9,2.27,0.53,
VABF12,1995-10-12 00:00:00.000,X-band,0851+202,ND,1.9,2.57,0.72,
RDV62,2007-03-27 00:00:00.000,X-band,0851+202,ND,1.88,2.63,0.62,2540.51
RDV66,2007-12-05 00:00:00.000,X-band,0851+202,ND,1.86,2.5,0.64,3668.31
B9725A,1997-01-10 00:00:00.000,X-band,0727-115,D,1.84,1.72,0.75,
RV112,2015-07-15 00:00:00.000,X-band,0834-201,D,1.84,2.4,0.53,2892.27
RDV9,1998-06-24 00:00:00.000,X-band,0851+202,ND,1.84,2.11,0.69,
RV108,2014-12-03 00:00:00.000,X-band,0716+714,D,1.83,1.64,0.86,2641.76
RDV84,2010-12-07 00:00:00.000,X-band,0834-201,D,1.81,2.38,0.56,3806.67
B9725B,1997-01-11 00:00:00.000,X-band,0727-115,D,1.76,1.83,0.8,
